Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
1660536,0.068,0.015,0.042,0.044,5.5,0.016,12.2,0.015,0.08,0.003,0.013,0.057,23.55,3
1810327,0.079,0.017,0.048,0.051,6.4,0.018,14.2,0.017,0.092,0.003,0.016,0.066,23.54,3
3610417,0.084,0.018,0.051,0.054,6.7,0.019,15.2,0.018,0.098,0.004,0.016,0.071,23.57,3
3849606,0.09,0.019,0.055,0.058,7.2,0.021,16.3,0.019,0.105,0.004,0.018,0.076,23.56,3
4041306,0.096,0.021,0.059,0.062,7.6,0.022,17.4,0.021,0.112,0.004,0.019,0.081,23.58,3
3937554,0.102,0.022,0.062,0.066,8,0.023,18.5,0.022,0.119,0.004,0.02,0.086,23.6,3
135153569,0.067,0,0,0.067,0,0,0,0,0.04,0,0,0.06,26,3
123381633,0.045,0,0,0.045,40.9,0.085,103.3,0.106,0,0,0.116,0,26.86,3
854705380,0,0,0,0,12.8,0.017,9.5,0.01,0.164,0,0.017,0.092,21.03,3
367527837,0.078,0.007,0.063,0.035,0,0,0,0,0.199,0,0.025,0.142,22.02,3
73157563,0.066,0.006,0.053,0.024,9.3,0.024,6.3,0.007,0.105,0.001,0.015,0.057,22.71,3
65323649,0.211,0,0.182,0.029,0,0,28.8,0.029,0.009,0,0,0.038,24.54,3
25368514,0.213,0,0.184,0.029,0,0,29,0.029,0.009,0,0,0.038,24.78,3
366076222,0.095,0.033,0.062,0.033,0,0,0,0,0.046,0,0,0,27.05,3
13498062,0.052,0,0.052,0.016,8.6,0.016,0,0,0.159,0.006,0.021,0.098,23.43,3
48387952,0.09,0.029,0.061,0.017,16.2,0.024,0,0,0.182,0,0.029,0.124,20.25,3
489522437,0.012,0,0.012,0,6.8,0.027,41.4,0.048,0.293,0,0.039,0.029,22.95,3
79475692,0.037,0,0.037,0,0,0,0,0,0.01,0,0,0,29.08,3
35411774,0.022,0,0.022,0.022,0,0,0,0,0,0.022,0,0.011,27.21,3
593037354,0.074,0.026,0.059,0.026,0,0,0,0,0,0,0,0.007,27.63,3
205166618,0.126,0.026,0.098,0.043,0,0,0,0,0,0,0,0,28.83,3
743520854,0.058,0.012,0.049,0.021,0,0,0,0,0,0,0,0,25.84,3
33368909,0.044,0,0.044,0,0,0,0,0,0,0,0,0,26.79,3
187667888,0.011,0,0.011,0,0,0,0,0,0.249,0,0,0.111,20.4,3
128500010,0.015,0,0.015,0,0,0,0,0,0.135,0,0,0.042,19.94,2
71186036,0.24,0.068,0.211,0.087,12.8,0.053,44.4,0.057,0.084,0,0,0.155,23.02,3
49879872,0.172,0.076,0.035,0.101,0,0,60.2,0.06,0,0,0,0.093,21.66,3
51262291,0.165,0.039,0.082,0.045,0,0,24.9,0.025,0.013,0,0,0.082,24.78,3
328050345,0.054,0.011,0.022,0.02,0,0,0,0,0,0,0,0.028,22.28,3
1021122910,0.098,0.043,0.028,0.061,0,0,17.5,0.03,0,0,0,0,27.21,3
314249310,0.107,0.037,0.043,0.057,0,0,15.4,0.027,0,0,0,0,26.11,3
114587975,0.041,0,0.023,0.018,0,0,0,0,0.017,0,0,0,23.07,3
1364243139,0.052,0,0.052,0,0,0,0,0,0.026,0,0,0,22.86,3
104301658,0.043,0,0.043,0.007,0,0,0,0,0,0,0,0,27.83,3
79951876,0.009,0,0.009,0,0.6,0.021,0,0,0.115,0.005,0,0.019,27.81,3
43868738,0.013,0,0,0.013,5.4,0.028,0,0,0.055,0,0,0,29.6,3
31029775,0.028,0,0.028,0,0,0,0,0,0.234,0,0,0.107,22.06,3
2597952167,0.163,0,0.163,0,0,0,0,0,0.084,0.129,0,0.107,22.51,3
6743640317,0.166,0,0.133,0.032,0,0,20.5,0.021,0.093,0.107,0,0.136,21.8,3
148064741,0.173,0,0.173,0,0,0,0,0,0.045,0.149,0.046,0.017,22.88,3
493595387,0.153,0.081,0.063,0.081,10.5,0.052,3.9,0.004,0.141,0.015,0.007,0.021,26.25,3
229514850,0.076,0.006,0.069,0.018,8.6,0.029,7.9,0.013,0.085,0.006,0.041,0.136,22.58,3
170143806,0.116,0.003,0.11,0.018,34,0.135,34.1,0.05,0.113,0.009,0.075,0.101,21.48,3
556271646,0.118,0.022,0.092,0.03,39.1,0.129,21.6,0.032,0.076,0.021,0.084,0.061,22.4,3
2188828019,0.078,0,0.07,0.013,0.3,0,24.6,0.027,0.103,0.002,0.002,0.141,22.36,3
639037716,0.052,0.006,0.037,0.024,18,0.029,5.1,0.006,0.109,0.001,0.038,0.075,21.85,3
1154311609,0.027,0,0.011,0.022,8.9,0.011,36.5,0.042,0.228,0,0.013,0.048,21.87,3
134154520,0.031,0.005,0.027,0.003,0,0,0,0,0,0,0,0.002,28.88,3
109491393,0.023,0.005,0.018,0.002,0,0,0,0,0.007,0,0,0,27.94,3
96925087,0.033,0,0.007,0.026,5.9,0.01,26,0.026,0.128,0,0.012,0.022,20.31,3
17068184,0.028,0,0.028,0,14.7,0.077,16.1,0.017,0,0,0,0.017,28.96,3
93765477,0.101,0.022,0.082,0.047,27.2,0.05,12.5,0.016,0.278,0,0.063,0.091,22.67,3
959847161,0.03,0.022,0.008,0.012,2.6,0.013,0,0,0.131,0.007,0.017,0.006,24.49,3
144611766,0.038,0.021,0.017,0.009,0,0,0,0,0.158,0.011,0.019,0.005,20.12,3
37780243,0.042,0.031,0.011,0.02,0,0,0,0,0.156,0.012,0,0,19.56,2
39920971,0.426,0.126,0.359,0.265,0,0,0,0,0.078,0,0,0,24.56,3
111061324,0.048,0,0.048,0,0,0,0,0,0,0,0,0.039,24.22,3
38169374,0,0,0,0,0,0,0,0,0.104,0,0,0,16.12,2
323963845,0.08,0,0.043,0.037,0,0,0,0,0,0,0,0.017,28.16,3
313702114,0.021,0,0.021,0,0,0,0,0,0.175,0,0,0.058,19.39,2
1035400543,0.061,0.023,0.033,0.031,13.6,0.074,3.5,0.004,0.123,0.01,0.025,0.011,26.3,3
93200136,0.068,0.002,0.066,0.002,0,0,0,0,0,0,0,0,30.23,4
29750154,0.144,0,0.144,0,115.5,0.142,0,0,0.347,0,0.118,0.127,25.02,3
41134224,0.093,0.027,0.082,0.039,0,0,0,0,0,0,0,0.017,28.14,3
3994418,0.069,0,0.028,0.041,58.9,0.064,0,0,0,0,0.064,0.025,23.2,3
12689364909,0.196,0,0.196,0,0,0,0,0,0,0,0,0.009,17.95,2
67310412,0.064,0.013,0.051,0.013,32.1,0.072,0,0,0.136,0.033,0.05,0.067,22.12,3
34629847,0.034,0,0,0.034,0,0,0,0,0.15,0,0,0.101,22.56,3
60962644,0.057,0,0.054,0.011,14.9,0.028,3.9,0.005,0.25,0,0.056,0.085,21.49,3
2011526469,0.033,0.009,0.009,0.033,3.3,0.004,0,0,0.319,0,0.001,0.093,21.17,3
2229094389,0.034,0.009,0.01,0.033,3.9,0.005,0,0,0.319,0,0.001,0.09,21.11,3
632875691,0.039,0.01,0.013,0.037,5.4,0.007,0,0,0.307,0,0.002,0.08,21,3
16845756,0.036,0,0.036,0,0,0,0,0,0.125,0,0,0,24.98,3
2103621702,0.051,0.014,0.015,0.051,0.9,0.002,0,0,0.296,0,0,0.055,20.82,3
20840443,0.033,0,0.033,0,0,0,0,0,0.077,0,0.029,0.074,20.97,3
673528709,0.074,0,0.069,0.013,19.8,0.037,4.4,0.005,0.33,0,0.075,0.109,21.81,3
42496949,0.079,0,0.074,0.015,20.5,0.038,5.4,0.006,0.343,0,0.077,0.117,21.83,3
79924680,0,0,0,0,0,0,0,0,0.114,0,0,0,28.45,3
147971039,0.044,0,0.044,0,11.3,0.043,0,0,0.096,0,0.015,0.093,22.16,3
354480008,0.013,0.007,0,0.013,0,0,0,0,0.182,0,0,0.072,22.5,3
292000285,0.046,0,0.019,0.027,0,0,0,0,0,0,0,0.015,25.11,3
239925959,0.041,0,0.014,0.027,0,0,0,0,0.044,0,0,0.02,23.45,3
144905043,0.042,0,0.013,0.028,0,0,0,0,0.044,0,0,0.02,23.48,3
56818783,0.042,0,0.014,0.028,0,0,0,0,0.044,0,0,0.02,23.46,3
92590666,0.019,0,0.011,0.013,6,0.014,0,0,0.343,0,0.014,0.121,18.05,2
1088604875,0.015,0,0,0.015,0,0,0,0,0,0,0,0,27.43,3
215892934,0.015,0,0.015,0,0,0,0,0,0,0,0,0,24.69,3
135763628,0.037,0,0.037,0,0,0,0,0,0,0,0,0,24.94,3
78432596,0.006,0,0.006,0,0,0,0,0,0,0,0,0,24.83,3
3542370054,0.029,0,0.003,0.026,0,0,0,0,0.305,0,0,0.095,21.05,3
422581154,0.006,0,0.006,0,0,0,0,0,0,0,0,0,26.24,3
51776753,0.02,0.02,0,0,11.9,0.062,11.5,0.011,0.018,0,0,0,29.06,3
636402495,0.109,0.01,0.094,0.012,4.1,0.013,0.2,0,0.073,0.003,0.007,0.028,22.64,3
717909849,0,0,0,0,0,0,0,0,0.122,0,0,0.12,20.1,3
118995618,0,0,0,0,0,0,0,0,0.159,0,0,0.113,19.55,2
168842771,0.066,0,0.029,0.038,17.9,0.022,36.8,0.044,0.159,0,0.04,0.119,21.23,3
2316666178,0.026,0,0.026,0.018,0,0,0,0,0,0,0,0,25.12,3
2225759164,0.075,0.036,0.055,0.036,0,0,0,0,0,0,0,0.014,24.88,3
128069471,0.012,0.006,0.005,0.008,4.4,0.031,8.7,0.01,0.105,0.002,0,0,29.04,3
1102283752,0.041,0.005,0.027,0.022,5.7,0.037,12.8,0.014,0.123,0.003,0.015,0.006,26.89,3
570444613,0.087,0.042,0.087,0.042,43.4,0.065,0,0,0.222,0,0.034,0.081,21.71,3
2634353698,0.042,0,0.042,0,9.7,0.023,0,0,0.126,0,0.006,0.044,21.47,3
174057740,0,0,0,0,0,0,0,0,0.056,0,0,0,16.68,2
1388759430,0,0,0,0,0,0,3,0.005,0.103,0,0,0.135,21.6,3
1010327894,0.071,0.003,0.059,0.019,0,0,0,0,0.011,0,0,0.011,25.31,3
7889875574,0.086,0,0.086,0.022,44,0.157,4.7,0.005,0.174,0,0.109,0.069,22.58,3
98616782,0.099,0,0.099,0.017,4.1,0.051,11.9,0.023,0.106,0,0.054,0.086,22.79,3
24723281652,0,0,0,0,0,0,0,0,0.174,0,0,0.145,21.2,3
424957269,0.111,0.047,0.111,0.047,52.4,0.078,0,0,0.046,0,0.04,0.115,23.68,3
1863953725,0.124,0.007,0.074,0.043,39,0.047,54.4,0.063,0.06,0,0.063,0.094,22.27,3
631802288,0.083,0.018,0.055,0.028,0,0,0,0,0,0,0,0,27.96,3
2834681932,0.007,0,0.007,0,0,0,0,0,0,0,0,0,28.78,3
538769505,0.093,0.034,0.074,0.034,0,0,0,0,0,0,0,0,27.24,3
1523656087,0.039,0,0.039,0.025,0,0,0,0,0.195,0,0,0.018,20.95,3
841337373,0.024,0,0.024,0,0,0,0,0,0.174,0,0,0.095,20.86,3
56004173,0.026,0,0.026,0.026,0,0,0,0,0.14,0,0,0.049,19.85,2
820438125,0.042,0.016,0.036,0.01,21.8,0.034,0,0,0.143,0,0.014,0.077,22.66,3
1176468170,0.045,0.02,0.037,0.011,20.9,0.034,0,0,0.148,0,0.009,0.069,22.63,3
84062502,0.017,0,0.017,0.017,0,0,0,0,0.091,0,0,0.032,23.23,3
199937528,0.069,0.007,0.063,0,0,0,0,0,0.328,0,0,0.051,19.96,2
648912408,0,0,0,0,0,0,10.5,0.018,0.043,0.018,0,0,24.06,3
90507406,0.07,0.021,0.043,0.022,0,0,0,0,0.004,0,0,0,29.06,3
1143558591,0.072,0.014,0.053,0.039,16.6,0.024,23.6,0.025,0.242,0.002,0.028,0.124,22,3
1444109886,0.196,0.014,0.171,0.025,0,0,0,0,0.124,0,0,0,24.43,3
236321369,0.008,0,0,0.008,0,0,0,0,0,0,0,0,29.41,3
358403417,0.043,0,0.028,0.027,5.4,0.036,10.5,0.011,0.116,0,0.005,0.009,25.74,3
3445381206,0.081,0.027,0.059,0.022,0,0,0,0,0.165,0.036,0.012,0.033,24.48,3
2973257470,0.013,0,0.013,0,0,0,0,0,0.197,0,0,0.066,23.31,3
1242947172,0.088,0.006,0.057,0.045,14.1,0.024,25.3,0.026,0.244,0.002,0.026,0.117,22.05,3
389499813,0,0,0,0,0,0,0,0,0.031,0,0,0,21.37,3
214922381,0.107,0,0.107,0.014,34.7,0.093,49.1,0.083,0.239,0,0.081,0.144,24.42,3
516689574,0.049,0,0.049,0,21.5,0.034,0,0,0.181,0,0.039,0.064,21.7,3
859023390,0.018,0,0.018,0,0,0,0,0,0.222,0,0,0.084,20.78,3
151049885,0.139,0,0.099,0.072,58.8,0.069,58.6,0.063,0.127,0,0.083,0.098,22.92,3
246553658,0.162,0.016,0.106,0.074,26.7,0.036,26.6,0.027,0.056,0.013,0.037,0.07,23.68,3
542886619,0.022,0.022,0,0.022,0,0,0,0,0.023,0,0,0,23.25,3
1757725663,0,0,0,0,0,0,0,0,0.145,0.016,0,0.105,22.28,3
520993313,0.038,0,0.038,0,0,0,0,0,0.055,0,0,0,33.66,4
1207455626,0.014,0,0.014,0,0,0,0,0,0.191,0,0,0.074,22.01,3
884665942,0.009,0,0,0.009,0,0,0,0,0,0,0,0,25.53,3
503776042,0.023,0,0.023,0,0,0,0,0,0.008,0,0,0,27.23,3
569182832,0.093,0.024,0.073,0.032,0,0,0,0,0,0,0,0.005,27.52,3
116710963,0.011,0,0.011,0,0,0,0,0,0,0,0,0.011,24.63,3
1387499050,0.137,0,0.097,0.071,57.6,0.068,57.9,0.062,0.126,0,0.082,0.097,24.11,3
12913493254,0.117,0.061,0.086,0.054,0,0,2.8,0.005,0.044,0,0,0,24.5,3
4601034071,0.055,0.002,0.048,0.007,0,0,0,0,0,0,0,0.009,31.08,4
464786093,0.045,0.007,0.032,0.019,8.5,0.02,10.4,0.012,0.099,0.003,0.018,0.048,23.01,3
342398465,0.762,0.169,0.446,0.762,0,0,0,0,0.041,0,0,0.019,27.38,3
68596558,0.008,0,0,0.008,0,0,0,0,0,0,0,0,27.21,3
52668721,0,0,0,0,0,0,0,0,0.126,0,0,0.05,32.08,4
15102439,0,0,0,0,0,0,0,0,0,0,0,0,26.68,3
47698259,0.019,0,0,0.019,0,0,19.4,0.019,0.233,0,0,0.115,20.26,3
111231430,0.155,0,0.155,0.1,0,0,0,0,0.067,0,0,0,19.8,2
126902893,0.088,0.063,0.058,0.063,0,0,0,0,0.075,0.012,0,0.078,23.21,3
4955603456,0,0,0,0,0,0,0,0,0.416,0,0,0.069,18.78,2
1883223876,0,0,0,0,0,0,0,0,0.31,0,0,0.107,23.49,3
2105333,0.143,0.014,0.129,0.035,0,0,0,0,0.068,0,0,0.023,19.51,2
10828219,0.252,0.032,0.187,0.085,21.9,0.046,0,0,0.131,0,0.02,0.065,26.35,3
4262280,0.081,0.03,0.05,0,0,0,0,0,0.091,0,0,0.015,20.92,3
196901537,0,0,0,0,0,0,0,0,0.145,0,0,0.018,27.22,3
110538710,0.101,0.007,0.094,0.037,30.9,0.046,16,0.019,0.041,0,0.023,0.023,24.77,3
112801569,0.052,0.005,0.024,0.028,0,0,0,0,0.021,0,0,0.008,23.23,3
575000065,0.056,0.012,0.047,0.022,19.4,0.056,7.2,0.011,0.19,0.009,0.042,0.098,22.7,3
3457341346,0.167,0.009,0.153,0.07,45.4,0.072,29,0.034,0.065,0,0.052,0.062,24.71,3
207501585,0,0,0,0,0,0,0,0,0.254,0,0,0.089,20.11,3
245881141,0.059,0,0.048,0.019,6.2,0.007,28.5,0.03,0.094,0.016,0.036,0.054,23.2,3
334841379,0.05,0.021,0.038,0,3.1,0.017,16.4,0.017,0.145,0.023,0.017,0.009,25.42,3
374443510,0,0,0,0,0,0,0,0,0.147,0,0,0.098,20.25,3
4586946556,0.098,0.02,0.066,0.031,0,0,0,0,0.011,0,0,0.011,28.39,3
846087203,0.067,0.011,0.056,0.011,0,0,0,0,0.008,0,0,0.022,22.74,3
347397576,0.065,0,0.065,0,0,0,0,0,0,0,0,0,27.13,3
1216801562,0.104,0,0.054,0.078,0,0,50.2,0.05,0.114,0,0,0.12,20.8,3
883601198,0.028,0,0.028,0.009,7.5,0.013,0,0,0.145,0,0.022,0.064,22.19,3
1871493309,0.111,0,0.074,0.052,18.6,0.038,45.3,0.047,0.07,0.002,0.053,0.146,22.75,3
392599927,0.001,0,0.001,0,0,0,0,0,0.338,0,0,0.102,20.97,3
23049907,0.02,0.009,0.011,0.009,0,0,0,0,0,0,0,0,27.15,3
1577880438,0.014,0,0.013,0.001,8.3,0.017,11.3,0.013,0.244,0,0.024,0.158,21.66,3
7027830918,0.144,0,0.095,0.067,10.3,0.031,0,0,0.055,0,0.032,0.156,25.35,3
602035008,0.102,0.028,0.102,0.053,17.2,0.056,0,0,0.185,0,0.015,0.048,22.03,3
121443123,0.042,0,0.042,0,22,0.056,0,0,0.22,0,0.035,0.03,19.07,2
942235151,0.039,0,0.039,0,0,0,0,0,0.038,0,0,0,32.03,4
71977749,0.05,0,0.041,0.009,0,0,0,0,0.011,0,0,0.015,25.7,3
430306091,0.043,0,0.037,0.005,0,0,0,0,0,0,0,0.041,24.4,3
484029351,0.053,0,0.045,0.008,0,0,0,0,0.006,0,0,0.04,23.8,3
1576439848,0.01,0,0.01,0,0,0,0,0,0.214,0,0,0.133,23.09,3
1730387265,0.045,0.004,0.036,0.018,7.3,0.022,5.4,0.008,0.082,0.002,0.017,0.053,23.22,3
1309166256,0.049,0.005,0.039,0.019,7.6,0.023,5.5,0.007,0.09,0.002,0.018,0.056,23.19,3
1417748930,0.053,0.005,0.042,0.02,7.8,0.024,5.7,0.008,0.096,0.002,0.018,0.058,23.04,3
1118691512,0.057,0.005,0.046,0.022,8.4,0.026,6,0.008,0.105,0.002,0.019,0.064,22.89,3
830822747,0.062,0.006,0.05,0.023,9.1,0.028,6.4,0.008,0.114,0.002,0.021,0.07,22.83,3
481616742,0.064,0.006,0.052,0.024,9.3,0.028,6.5,0.009,0.119,0.002,0.021,0.072,22.78,3
119162150,0.067,0.006,0.053,0.025,9.6,0.029,6.7,0.009,0.123,0.002,0.022,0.075,22.77,3
838001528,0.062,0.006,0.049,0.023,8.9,0.027,6,0.008,0.109,0.002,0.02,0.067,22.85,3
1705782201,0.049,0.005,0.039,0.019,7.7,0.023,5.1,0.007,0.091,0.002,0.017,0.054,22.92,3
326492121,0.076,0.008,0.061,0.027,11.4,0.034,7.5,0.01,0.142,0.002,0.025,0.082,22.41,3
3855365192,0.051,0,0.051,0.015,13.2,0.022,0,0,0.259,0,0.04,0.114,19.77,2
7369559011,0.16,0.034,0.083,0.092,10.4,0.044,0,0,0.045,0,0,0.079,24.68,3
536550997,0.074,0.026,0.074,0.019,25.7,0.061,0,0,0.224,0.014,0.035,0.04,25.03,3
605921919,0,0,0,0,0,0,0,0,0.063,0,0,0,16.07,2
5399196989,0.008,0,0.008,0,0,0,0,0,0.351,0,0,0.118,20.26,3
3882269471,0.042,0,0.024,0.018,0,0,0,0,0.01,0,0,0,26.5,3
4746950123,0.109,0,0.109,0,0,0,19.8,0.034,0,0,0,0.006,25.25,3
136673184,0.057,0.014,0.039,0.014,0,0,0,0,0.002,0,0,0.003,28.37,3
655861442,0.06,0.009,0.045,0.022,6.8,0.02,4.5,0.005,0.08,0.002,0.014,0.059,23.1,3
747761625,0.046,0.007,0.035,0.017,5.5,0.016,3.4,0.004,0.066,0.002,0.011,0.046,23.14,3
22937360299,0.013,0,0.013,0,0,0,0,0,0.322,0,0,0.117,21.51,3
264130459,0.949,0.203,0.515,0.949,0,0,0,0,0,0,0,0,29.68,3
2157459496,0.199,0.009,0.128,0.105,27.2,0.064,44.4,0.044,0.07,0.005,0.045,0.142,24.52,3
48597053861,0.049,0.006,0.039,0.018,7,0.019,6,0.008,0.107,0.003,0.017,0.043,23.55,3
48099559070,0.054,0.007,0.043,0.019,7.7,0.021,6.3,0.008,0.123,0.004,0.019,0.049,23.56,3
37531349097,0.063,0.008,0.051,0.02,8.8,0.024,6.3,0.008,0.155,0.004,0.021,0.059,23.56,3
33817197166,0.061,0.008,0.049,0.019,8.6,0.023,6.2,0.008,0.156,0.004,0.021,0.059,23.51,3
24097226429,0.057,0.007,0.046,0.016,8.1,0.022,5.9,0.007,0.157,0.004,0.019,0.058,23.5,3
14864657360,0.055,0.007,0.045,0.015,8,0.021,5.8,0.007,0.155,0.003,0.018,0.058,23.5,3
4244612432,0.055,0.007,0.044,0.015,8,0.021,5.8,0.007,0.155,0.003,0.018,0.058,23.5,3
82081285883,0.013,0,0.012,0.002,1.9,0.006,0.7,0.001,0.227,0,0.004,0.073,22.86,3
2.33E+11,0.056,0.007,0.044,0.016,5,0.009,3.4,0.004,0.149,0.001,0.014,0.053,23.46,3
1.02E+11,0.108,0.016,0.077,0.063,14.1,0.036,11.3,0.012,0.188,0.018,0.027,0.079,22.63,3
1.09E+11,0.126,0.018,0.107,0.058,16.1,0.057,17.4,0.025,0.154,0.009,0.052,0.07,23.74,3
1.22E+11,0.091,0.016,0.076,0.016,16.7,0.046,20.2,0.028,0.193,0.008,0.039,0.089,22.7,3
2805744846,0.049,0.006,0.039,0.016,7.1,0.019,6.1,0.008,0.121,0.003,0.017,0.047,23.75,3
1791470122,0.044,0.003,0.044,0,2.2,0.015,6.2,0.006,0.1,0,0.007,0.001,26.43,3
1.24E+11,0.084,0.022,0.067,0.009,18.5,0.087,7.6,0.012,0.13,0.006,0.06,0.053,24.1,3
1.34E+11,0.083,0.018,0.06,0.024,8.8,0.017,1.3,0.001,0.197,0.004,0.013,0.07,23.39,3
25669589607,0.068,0.009,0.043,0.036,10,0.038,17.1,0.022,0.115,0.003,0.041,0.037,24.13,3
5812572614,0.055,0.007,0.048,0.01,8.8,0.028,6.7,0.009,0.154,0.003,0.023,0.059,23.47,3
15348088122,0.097,0.01,0.08,0.043,6.2,0.039,6.6,0.009,0.201,0.005,0.049,0.064,21.75,3
19546270116,0.04,0.003,0.035,0.008,6.2,0.013,3.1,0.004,0.169,0.001,0.011,0.062,23.49,3
18480006211,0.06,0.007,0.05,0.019,8.7,0.023,8.3,0.011,0.144,0.003,0.022,0.059,23.57,3
15392360894,0.101,0.01,0.091,0.021,20.1,0.089,23.6,0.038,0.142,0.008,0.044,0.052,23.11,3
2111510563,0.065,0.013,0.063,0.03,11.5,0.074,7.2,0.011,0.142,0.017,0.051,0.089,21.21,3
14275251940,0.065,0.008,0.051,0.021,9.4,0.023,8.2,0.01,0.124,0.003,0.024,0.052,23.66,3
1.37E+11,0.051,0.005,0.049,0.007,13.5,0.035,9.3,0.012,0.186,0.005,0.032,0.075,23.09,3
61857805969,0.059,0.01,0.05,0.012,5.5,0.034,1.9,0.002,0.139,0.006,0.024,0.029,25.24,3
1793995442,0.082,0.011,0.066,0.029,10.9,0.03,8.7,0.012,0.123,0.005,0.028,0.056,24.04,3
1491611877,0.074,0.01,0.06,0.027,9.9,0.027,7.8,0.011,0.098,0.005,0.026,0.047,23.97,3
2.75E+11,0.042,0,0.038,0.005,8.4,0.014,1,0.001,0.189,0,0.008,0.07,23.63,3
1.28E+11,0.141,0.016,0.116,0.042,19.9,0.047,7.3,0.012,0.104,0.006,0.042,0.075,24.39,3
1.48E+11,0.046,0.005,0.039,0.016,8.4,0.018,9,0.01,0.209,0.001,0.017,0.082,23.49,3
33456250466,0.032,0,0.028,0.004,0.4,0.001,3,0.003,0.189,0,0.003,0.06,22.69,3
1.87E+11,0.088,0.006,0.072,0.033,15.6,0.029,10.3,0.011,0.205,0.004,0.028,0.082,23.2,3
344603333,0.089,0.007,0.049,0.054,5.4,0.018,0,0,0.241,0,0.024,0.08,21.99,3
1270577322,0.01,0,0.01,0,2.7,0.015,17.3,0.018,0.091,0.001,0.006,0.001,26.99,3
400148747,0.116,0.025,0.09,0.052,45,0.066,0,0,0.057,0,0.097,0.133,23.28,3
8156349417,0.065,0,0.065,0.019,26,0.098,0,0,0.225,0,0,0.067,22.29,3
6736137785,0,0,0,0,0,0,0,0,0.186,0,0,0.115,19.56,2
812740305,0.114,0.032,0.114,0.032,29.9,0.117,0,0,0.099,0,0.101,0.055,22.22,3
43535991,0.075,0,0.075,0,25.2,0.033,0,0,0.206,0,0.091,0.151,22.6,3
188995268,0.105,0.023,0.03,0.075,0,0,0,0,0,0,0,0.034,27.64,3
27311285,0.134,0,0.078,0.081,14.6,0.059,23.3,0.027,0.126,0,0.033,0.102,22.17,3
826055537,0.106,0.032,0.056,0.03,0,0,0,0,0.012,0,0,0,28.3,3
554127275,0.058,0,0.035,0.023,18.3,0.024,17.4,0.02,0.153,0.015,0.049,0.062,21.52,3
52742874,0.06,0.007,0.06,0.031,0,0,0,0,0.161,0,0.033,0.107,23.06,3
26218738,0.237,0.026,0.192,0.154,25.5,0.043,0,0,0.113,0,0.054,0.089,23.39,3
10537051,0.141,0,0.082,0.08,0,0,0,0,0.054,0,0,0.131,22.39,3
9377955,0.039,0,0.026,0.013,9.9,0.013,12.8,0.013,0.079,0,0.031,0.108,24.17,3
24481923,0.089,0.009,0.05,0.068,17.5,0.023,39.7,0.04,0.183,0,0.061,0.123,21.68,3
850952481,0.101,0,0.101,0,0,0,0,0,0,0,0,0.027,23.03,3
61851462,0.175,0,0.175,0,50.6,0.081,0,0,0,0,0.046,0.101,25.51,3
2414428213,0.062,0,0.062,0,0,0,0,0,0,0,0,0.043,19.97,2
50042591,0.07,0.035,0.063,0.042,30.8,0.079,9.6,0.018,0.177,0,0.058,0.077,20.89,3
234173467,0.071,0,0.045,0.026,32.8,0.115,11.4,0.022,0.183,0,0.068,0.048,20.37,3
3619653641,0,0,0,0,0,0,0,0,0,0,0,0.021,22.53,3
983401531,0.136,0.01,0.126,0.01,0,0,0,0,0.215,0,0,0,21.05,3
223437181,0,0,0,0,0,0,0,0,0.02,0,0,0.035,22.66,3
149912336,0.076,0,0.076,0.062,34.1,0.072,9.4,0.016,0,0,0.032,0.042,24.83,3
1998563543,0.056,0,0.056,0,0,0,0,0,0.153,0,0,0.116,21.09,3
2526643759,0.093,0,0.05,0.043,37.7,0.071,42.5,0.043,0.038,0,0.027,0.142,22.13,3
5063851494,0.079,0,0.079,0.065,49.4,0.117,27.8,0.054,0.052,0,0.05,0.063,21.41,3
3552623228,0.012,0,0.006,0.006,0,0,11.1,0.019,0.011,0,0,0.021,25.37,3
34293964392,0.02,0,0.02,0,17.4,0.053,0,0,0.059,0.015,0,0.189,21.59,3
3556400869,0.032,0,0.032,0,0,0,0,0,0.017,0,0,0.046,22.93,3
58696430,0.117,0,0.056,0.061,35.5,0.039,84.7,0.085,0.047,0,0.039,0.1,21.64,3
1091352819,0,0,0,0,0,0,0,0,0,0,0,0,26.56,3
309709463,0.102,0,0.084,0.018,71.9,0.147,18.2,0.018,0.053,0,0.043,0.044,22.73,3
22288810,0.085,0.015,0.085,0,0.4,0.013,0,0,0.118,0,0,0.01,26.95,3
12318470,0,0,0,0,0,0,0,0,0.136,0,0.022,0,24.11,3
163349384,0.001,0,0.001,0,0,0,0,0,0.116,0,0.022,0,25.15,3
95447641,0.055,0,0.055,0,0,0,0,0,0,0,0,0,30.34,4
4903235,0.018,0,0.018,0,0,0,0,0,0,0,0,0,24.94,3
133359541,0.039,0,0.016,0.023,0,0,0,0,0.16,0,0,0.107,19.58,2
42862866,0.119,0.008,0.111,0,22.7,0.038,0,0,0.016,0,0.013,0,29.64,3
281560304,0.063,0,0.037,0.027,31.4,0.04,45.5,0.049,0.116,0,0.038,0.15,22.43,3
